hardware,embedding_index,horizon,method,time,result,threshold
manhattan,1,3,convex,0.009900,1,0.747300
manhattan,1,4,convex,0.022170,1,0.747320
manhattan,1,5,convex,0.038970,1,0.748890
manhattan,1,6,convex,0.071350,1,0.748890
valencia,0,1,convex,0.002070,1,0.660380
valencia,0,2,convex,0.003820,1,0.665540
valencia,0,3,convex,0.006130,1,0.742550
valencia,0,4,convex,0.011830,1,0.742820
valencia,0,5,convex,0.020610,1,0.748490
valencia,0,6,convex,0.033280,1,0.748490
valencia,1,1,convex,0.002070,1,0.653170
valencia,1,2,convex,0.003890,1,0.664940
valencia,1,3,convex,0.006360,1,0.732620
valencia,1,4,convex,0.012130,1,0.734010
valencia,1,5,convex,0.021280,1,0.746350
valencia,1,6,convex,0.035790,1,0.746380
boeblingen,0,1,convex,0.002240,1,0.662710
boeblingen,0,2,convex,0.003840,1,0.665630
boeblingen,0,3,convex,0.006340,1,0.745470
boeblingen,0,4,convex,0.011530,1,0.745550
boeblingen,0,5,convex,0.020690,1,0.748800
boeblingen,0,6,convex,0.033290,1,0.748800
boeblingen,1,1,convex,0.002270,1,0.616530
boeblingen,1,2,convex,0.003920,1,0.652650
boeblingen,1,3,convex,0.006490,1,0.673170
boeblingen,1,4,convex,0.012390,1,0.686310
boeblingen,1,5,convex,0.021270,1,0.710840
boeblingen,1,6,convex,0.034660,1,0.713600
bogota,0,1,convex,0.001990,1,0.659530
bogota,0,2,convex,0.003760,1,0.665490
bogota,0,3,convex,0.006070,1,0.741470
bogota,0,4,convex,0.011440,1,0.741830
bogota,0,5,convex,0.020000,1,0.748360
bogota,0,6,convex,0.033310,1,0.748360
bogota,1,1,convex,0.002010,1,0.652600
bogota,1,2,convex,0.003810,1,0.664870
bogota,1,3,convex,0.006280,1,0.731690
bogota,1,4,convex,0.012390,1,0.733200
bogota,1,5,convex,0.020900,1,0.746000
bogota,1,6,convex,0.034840,1,0.746050
cusco,0,1,convex,0.002220,1,0.664030
cusco,0,2,convex,0.004000,1,0.665650
cusco,0,3,convex,0.006370,1,0.747070
cusco,0,4,convex,0.011980,1,0.747090
cusco,0,5,convex,0.020870,1,0.748910
cusco,0,6,convex,0.034250,1,0.748910
cusco,1,1,convex,0.002450,1,0.499000
cusco,1,2,convex,0.010590,1,0.499980
cusco,1,3,convex,0.041690,1,0.499980
cusco,1,4,convex,0.043740,1,0.500460
cusco,1,5,convex,0.123270,1,0.500460
cusco,1,6,convex,0.154470,1,0.500830
lagos,0,1,convex,0.002450,1,0.516470
lagos,0,2,convex,0.003720,1,0.517100
lagos,0,3,convex,0.005530,1,0.525160
lagos,0,4,convex,0.009090,1,0.526100
lagos,0,5,convex,0.014120,1,0.531640
lagos,0,6,convex,0.025110,1,0.532820
lagos,1,1,convex,0.002080,1,0.661910
lagos,1,2,convex,0.004000,1,0.665600
lagos,1,3,convex,0.006410,1,0.744480
lagos,1,4,convex,0.011940,1,0.744620
lagos,1,5,convex,0.020690,1,0.748710
lagos,1,6,convex,0.034800,1,0.748710
toronto,0,1,convex,0.002230,1,0.591000
toronto,0,2,convex,0.003840,1,0.611750
toronto,0,3,convex,0.007090,1,0.630300
toronto,0,4,convex,0.014180,1,0.651670
toronto,0,5,convex,0.024940,1,0.668820
toronto,0,6,convex,0.043040,1,0.675980
toronto,1,1,convex,0.002350,1,0.663920
toronto,1,2,convex,0.005030,1,0.665650
toronto,1,3,convex,0.007710,1,0.746920
toronto,1,4,convex,0.016050,1,0.746960
toronto,1,5,convex,0.028280,1,0.748890
toronto,1,6,convex,0.049700,1,0.748890
brisbane,0,1,convex,0.003330,1,0.602330
brisbane,0,2,convex,0.005230,1,0.629250
brisbane,0,3,convex,0.007980,1,0.639970
brisbane,0,4,convex,0.029380,1,0.658110
brisbane,0,5,convex,0.023310,1,0.660540
brisbane,0,6,convex,0.097650,1,0.673230
brisbane,1,1,convex,0.003640,1,0.664410
brisbane,1,2,convex,0.009730,1,0.665660
brisbane,1,3,convex,0.013470,1,0.747510
brisbane,1,4,convex,0.032530,1,0.747520
brisbane,1,5,convex,0.057700,1,0.748920
brisbane,1,6,convex,0.108400,1,0.748920
perth,0,1,convex,0.002260,1,0.655810
perth,0,2,convex,0.004040,1,0.665220
perth,0,3,convex,0.006380,1,0.736370
perth,0,4,convex,0.012270,1,0.737260
perth,0,5,convex,0.021550,1,0.747320
perth,0,6,convex,0.036970,1,0.747340
perth,1,1,convex,0.002070,1,0.661280
perth,1,2,convex,0.004040,1,0.665580
perth,1,3,convex,0.006580,1,0.743660
perth,1,4,convex,0.012650,1,0.743850
perth,1,5,convex,0.022330,1,0.748600
perth,1,6,convex,0.037330,1,0.748600
santiago,0,1,convex,0.002110,1,0.661620
santiago,0,2,convex,0.004020,1,0.665590
santiago,0,3,convex,0.006250,1,0.744120
santiago,0,4,convex,0.012500,1,0.744280
santiago,0,5,convex,0.020470,1,0.748680
santiago,0,6,convex,0.034050,1,0.748680
santiago,1,1,convex,0.002050,1,0.663520
santiago,1,2,convex,0.003890,1,0.665650
santiago,1,3,convex,0.006300,1,0.746460
santiago,1,4,convex,0.012020,1,0.746510
santiago,1,5,convex,0.021070,1,0.748880
santiago,1,6,convex,0.035300,1,0.748880
singapore,0,1,convex,0.002150,1,0.644890
singapore,0,2,convex,0.003700,1,0.663600
singapore,0,3,convex,0.006210,1,0.720200
singapore,0,4,convex,0.011120,1,0.723620
singapore,0,5,convex,0.019520,1,0.741870
singapore,0,6,convex,0.031970,1,0.742070
singapore,1,1,convex,0.002250,1,0.661850
singapore,1,2,convex,0.003900,1,0.665600
singapore,1,3,convex,0.006440,1,0.744390
singapore,1,4,convex,0.011810,1,0.744530
singapore,1,5,convex,0.020910,1,0.748690
singapore,1,6,convex,0.034070,1,0.748690
sydney,0,1,convex,0.002240,1,0.663590
sydney,0,2,convex,0.004510,1,0.665650
sydney,0,3,convex,0.007010,1,0.746540
sydney,0,4,convex,0.013930,1,0.746590
sydney,0,5,convex,0.024430,1,0.748890
sydney,0,6,convex,0.041950,1,0.748890
sydney,1,1,convex,0.002300,1,0.637100
sydney,1,2,convex,0.005270,1,0.661680
sydney,1,3,convex,0.007830,1,0.707750
sydney,1,4,convex,0.015950,1,0.713580
sydney,1,5,convex,0.027090,1,0.735610
sydney,1,6,convex,0.045670,1,0.736180
cairo,0,1,convex,0.002350,1,0.664530
cairo,0,2,convex,0.004250,1,0.665660
cairo,0,3,convex,0.006970,1,0.747630
cairo,0,4,convex,0.012220,1,0.747650
cairo,0,5,convex,0.020020,1,0.748910
cairo,0,6,convex,0.033680,1,0.748910
cairo,1,1,convex,0.002320,1,0.628850
cairo,1,2,convex,0.004770,1,0.658900
cairo,1,3,convex,0.007370,1,0.692610
cairo,1,4,convex,0.014930,1,0.701820
cairo,1,5,convex,0.026200,1,0.725410
cairo,1,6,convex,0.045540,1,0.726870
casablanca,0,1,convex,0.002000,1,0.662440
casablanca,0,2,convex,0.003720,1,0.665620
casablanca,0,3,convex,0.006100,1,0.744970
casablanca,0,4,convex,0.011940,1,0.745080
casablanca,0,5,convex,0.020060,1,0.748610
casablanca,0,6,convex,0.034380,1,0.748610
casablanca,1,1,convex,0.002400,1,0.658260
casablanca,1,2,convex,0.004780,1,0.665410
casablanca,1,3,convex,0.007260,1,0.739730
casablanca,1,4,convex,0.013680,1,0.740250
casablanca,1,5,convex,0.022270,1,0.748020
casablanca,1,6,convex,0.038280,1,0.748030
johannesburg,0,1,convex,0.002460,1,0.661730
johannesburg,0,2,convex,0.003840,1,0.665600
johannesburg,0,3,convex,0.006150,1,0.744090
johannesburg,0,4,convex,0.010880,1,0.744250
johannesburg,0,5,convex,0.018770,1,0.748520
johannesburg,0,6,convex,0.030300,1,0.748520
johannesburg,1,1,convex,0.002250,1,0.622300
johannesburg,1,2,convex,0.003810,1,0.656120
johannesburg,1,3,convex,0.006500,1,0.682930
johannesburg,1,4,convex,0.011970,1,0.694000
johannesburg,1,5,convex,0.022850,1,0.718780
johannesburg,1,6,convex,0.034120,1,0.720770
kawasaki,0,1,convex,0.002700,1,0.664910
kawasaki,0,2,convex,0.005760,1,0.665660
kawasaki,0,3,convex,0.008430,1,0.748050
kawasaki,0,4,convex,0.018980,1,0.748060
kawasaki,0,5,convex,0.032460,1,0.748910
kawasaki,0,6,convex,0.057270,1,0.748910
kawasaki,1,1,convex,0.003540,1,0.572600
kawasaki,1,2,convex,0.005400,1,0.585300
kawasaki,1,3,convex,0.010350,1,0.605010
kawasaki,1,4,convex,0.015800,1,0.623310
kawasaki,1,5,convex,0.053020,1,0.634680
kawasaki,1,6,convex,0.101830,1,0.644990
rome,0,1,convex,0.002080,1,0.658820
rome,0,2,convex,0.003740,1,0.665450
rome,0,3,convex,0.006100,1,0.740530
rome,0,4,convex,0.011310,1,0.740970
rome,0,5,convex,0.019840,1,0.748210
rome,0,6,convex,0.032880,1,0.748210
rome,1,1,convex,0.002030,1,0.660840
rome,1,2,convex,0.003890,1,0.665560
rome,1,3,convex,0.006630,1,0.743130
rome,1,4,convex,0.012370,1,0.743360
rome,1,5,convex,0.020590,1,0.748560
rome,1,6,convex,0.035290,1,0.748560
burlington,0,1,convex,0.002080,1,0.660130
burlington,0,2,convex,0.003350,1,0.665530
burlington,0,3,convex,0.005710,1,0.742220
burlington,0,4,convex,0.010500,1,0.742520
burlington,0,5,convex,0.017460,1,0.748440
burlington,0,6,convex,0.027800,1,0.748440
burlington,1,1,convex,0.002030,1,0.654530
burlington,1,2,convex,0.003400,1,0.665090
burlington,1,3,convex,0.005730,1,0.734560
burlington,1,4,convex,0.010180,1,0.735680
burlington,1,5,convex,0.018340,1,0.746870
burlington,1,6,convex,0.028790,1,0.746900
osaka,0,1,convex,0.002460,1,0.527880
osaka,0,2,convex,0.004300,1,0.529650
osaka,0,3,convex,0.005780,1,0.542100
osaka,0,4,convex,0.009340,1,0.544740
osaka,0,5,convex,0.015470,1,0.552610
osaka,0,6,convex,0.032670,1,0.555900
osaka,1,1,convex,0.002970,1,0.664860
osaka,1,2,convex,0.005720,1,0.665660
osaka,1,3,convex,0.008700,1,0.748050
osaka,1,4,convex,0.017600,1,0.748060
osaka,1,5,convex,0.030520,1,0.748960
osaka,1,6,convex,0.053010,1,0.748960
oslo,0,1,convex,0.002550,1,0.663950
oslo,0,2,convex,0.004340,1,0.665650
oslo,0,3,convex,0.006490,1,0.746950
oslo,0,4,convex,0.011790,1,0.746980
oslo,0,5,convex,0.021750,1,0.748890
oslo,0,6,convex,0.034000,1,0.748890
oslo,1,1,convex,0.002060,1,0.659000
oslo,1,2,convex,0.004010,1,0.665460
oslo,1,3,convex,0.006500,1,0.740770
oslo,1,4,convex,0.012680,1,0.741190
oslo,1,5,convex,0.022910,1,0.748240
oslo,1,6,convex,0.040110,1,0.748240
paris,0,1,convex,0.002490,1,0.611070
paris,0,2,convex,0.004090,1,0.643450
paris,0,3,convex,0.007050,1,0.663990
paris,0,4,convex,0.013090,1,0.679010
paris,0,5,convex,0.021670,1,0.702790
paris,0,6,convex,0.036160,1,0.706360
paris,1,1,convex,0.002390,1,0.664130
paris,1,2,convex,0.005170,1,0.665660
paris,1,3,convex,0.007850,1,0.747150
paris,1,4,convex,0.016260,1,0.747170
paris,1,5,convex,0.028520,1,0.748880
paris,1,6,convex,0.050110,1,0.748880
poughkeepsie,0,1,convex,0.002120,1,0.622210
poughkeepsie,0,2,convex,0.003570,1,0.656080
poughkeepsie,0,3,convex,0.006000,1,0.681440
poughkeepsie,0,4,convex,0.010670,1,0.693120
poughkeepsie,0,5,convex,0.018700,1,0.717170
poughkeepsie,0,6,convex,0.031590,1,0.719450
poughkeepsie,1,1,convex,0.002230,1,0.660930
poughkeepsie,1,2,convex,0.003800,1,0.665560
poughkeepsie,1,3,convex,0.006410,1,0.743150
