algorithm_index,min_success0,avg_success0,max_success0,min_success1,avg_success1,max_success1,min_meas_succ,avg_meas_succ,max_meas_succ,min_diff_meas,avg_diff_meas,max_diff_meas,min_abs_diff_meas,avg_abs_diff_meas,max_abs_diff_meas,min_succ_1Q,avg_succ_1Q,max_succ_1Q,min_succ_2Q,avg_succ_2Q,max_succ_2Q,num_hardwares
231,0.8988,0.8988,0.8988,0.8988,0.8988,0.8988,0.8988,0.8988,0.8988,0.0,0.0,0.0,0.0,0.0,0.0,0.999734,0.9998670000000001,1.0,100,0.0,0.0,1
232,0.8988,0.8988,0.8988,0.8988,0.8988,0.8988,0.8988,0.8988,0.8988,0.0,0.0,0.0,0.0,0.0,0.0,0.999734,0.9998670000000001,1.0,100,0.0,0.0,1
233,0.8988,0.8988,0.8988,0.8988,0.8988,0.8988,0.8988,0.8988,0.8988,0.0,0.0,0.0,0.0,0.0,0.0,0.999734,0.9998670000000001,1.0,100,0.0,0.0,1
234,0.8988,0.8988,0.8988,0.8988,0.8988,0.8988,0.8988,0.8988,0.8988,0.0,0.0,0.0,0.0,0.0,0.0,0.999734,0.9998670000000001,1.0,100,0.0,0.0,1
235,0.8988,0.8988,0.8988,0.8988,0.8988,0.8988,0.8988,0.8988,0.8988,0.0,0.0,0.0,0.0,0.0,0.0,0.999734,0.9998670000000001,1.0,100,0.0,0.0,1
236,0.8988,0.8988,0.8988,0.8988,0.8988,0.8988,0.8988,0.8988,0.8988,0.0,0.0,0.0,0.0,0.0,0.0,0.999734,0.9998670000000001,1.0,100,0.0,0.0,1
237,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.0,0.0,0.0,0.0,0.0,0.0,0.999327,0.999327,0.999327,100,0.0,0.0,1
238,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.0,0.0,0.0,0.0,0.0,0.0,0.999327,0.999327,0.999327,100,0.0,0.0,1
239,0.773333,0.773333,0.773333,0.773333,0.773333,0.773333,0.773333,0.773333,0.773333,0.0,0.0,0.0,0.0,0.0,0.0,0.996286,0.996286,0.996286,100,0.0,0.0,1
240,0.773333,0.773333,0.773333,0.773333,0.773333,0.773333,0.773333,0.773333,0.773333,0.0,0.0,0.0,0.0,0.0,0.0,0.996286,0.996286,0.996286,100,0.0,0.0,1
241,0.773333,0.773333,0.773333,0.773333,0.773333,0.773333,0.773333,0.773333,0.773333,0.0,0.0,0.0,0.0,0.0,0.0,0.996286,0.996286,0.996286,100,0.0,0.0,1
242,0.773333,0.773333,0.773333,0.773333,0.773333,0.773333,0.773333,0.773333,0.773333,0.0,0.0,0.0,0.0,0.0,0.0,0.996286,0.996286,0.996286,100,0.0,0.0,1
243,0.773333,0.773333,0.773333,0.773333,0.773333,0.773333,0.773333,0.773333,0.773333,0.0,0.0,0.0,0.0,0.0,0.0,0.996286,0.996286,0.996286,100,0.0,0.0,1
244,0.773333,0.773333,0.773333,0.773333,0.773333,0.773333,0.773333,0.773333,0.773333,0.0,0.0,0.0,0.0,0.0,0.0,0.996286,0.996286,0.996286,100,0.0,0.0,1
245,0.8586,0.8586,0.8586,0.8586,0.8586,0.8586,0.8586,0.8586,0.8586,0.0,0.0,0.0,0.0,0.0,0.0,0.999443,0.9997214999999999,1.0,100,0.0,0.0,1
246,0.8586,0.8586,0.8586,0.8586,0.8586,0.8586,0.8586,0.8586,0.8586,0.0,0.0,0.0,0.0,0.0,0.0,0.999443,0.9997214999999999,1.0,100,0.0,0.0,1
247,0.8586,0.8586,0.8586,0.8586,0.8586,0.8586,0.8586,0.8586,0.8586,0.0,0.0,0.0,0.0,0.0,0.0,0.999443,0.9997214999999999,1.0,100,0.0,0.0,1
248,0.8586,0.8586,0.8586,0.8586,0.8586,0.8586,0.8586,0.8586,0.8586,0.0,0.0,0.0,0.0,0.0,0.0,0.999443,0.9997214999999999,1.0,100,0.0,0.0,1
249,0.8586,0.8586,0.8586,0.8586,0.8586,0.8586,0.8586,0.8586,0.8586,0.0,0.0,0.0,0.0,0.0,0.0,0.999443,0.9997214999999999,1.0,100,0.0,0.0,1
250,0.8586,0.8586,0.8586,0.8586,0.8586,0.8586,0.8586,0.8586,0.8586,0.0,0.0,0.0,0.0,0.0,0.0,0.999443,0.9997214999999999,1.0,100,0.0,0.0,1
251,0.9862,0.9862,0.9862,0.9862,0.9862,0.9862,0.9862,0.9862,0.9862,0.0,0.0,0.0,0.0,0.0,0.0,0.998956,0.999478,1.0,100,0.0,0.0,1
252,0.9862,0.9862,0.9862,0.9862,0.9862,0.9862,0.9862,0.9862,0.9862,0.0,0.0,0.0,0.0,0.0,0.0,0.998956,0.999478,1.0,100,0.0,0.0,1
253,0.9862,0.9862,0.9862,0.9862,0.9862,0.9862,0.9862,0.9862,0.9862,0.0,0.0,0.0,0.0,0.0,0.0,0.998956,0.999478,1.0,100,0.0,0.0,1
254,0.9834,0.9834,0.9834,0.9834,0.9834,0.9834,0.9834,0.9834,0.9834,0.0,0.0,0.0,0.0,0.0,0.0,0.999729,0.9998644999999999,1.0,100,0.0,0.0,1
255,0.9425,0.9425,0.9425,0.9425,0.9425,0.9425,0.9425,0.9425,0.9425,0.0,0.0,0.0,0.0,0.0,0.0,0.998982,0.999491,1.0,100,0.0,0.0,1
256,0.9425,0.9425,0.9425,0.9425,0.9425,0.9425,0.9425,0.9425,0.9425,0.0,0.0,0.0,0.0,0.0,0.0,0.998982,0.999491,1.0,100,0.0,0.0,1
257,0.942,0.94225,0.9425,0.942,0.94225,0.9425,0.942,0.94225,0.9425,0.0,0.0,0.0,0.0,0.0,0.0,0.998982,0.99959675,1.0,100,0.0,0.0,2
258,0.9425,0.9425,0.9425,0.9425,0.9425,0.9425,0.9425,0.9425,0.9425,0.0,0.0,0.0,0.0,0.0,0.0,0.998982,0.999491,1.0,100,0.0,0.0,1
259,0.9425,0.9425,0.9425,0.9425,0.9425,0.9425,0.9425,0.9425,0.9425,0.0,0.0,0.0,0.0,0.0,0.0,0.998982,0.999491,1.0,100,0.0,0.0,1
260,0.997314,0.997314,0.997314,0.997314,0.997314,0.997314,0.997314,0.997314,0.997314,0.0,0.0,0.0,0.0,0.0,0.0,0.999126,0.999563,1.0,100,0.0,0.0,1
261,0.526123,0.526123,0.526123,0.526123,0.526123,0.526123,0.526123,0.526123,0.526123,0.0,0.0,0.0,0.0,0.0,0.0,0.981302,0.990651,1.0,100,0.0,0.0,1
262,0.526123,0.526123,0.526123,0.526123,0.526123,0.526123,0.526123,0.526123,0.526123,0.0,0.0,0.0,0.0,0.0,0.0,0.981302,0.990651,1.0,100,0.0,0.0,1
263,0.526123,0.526123,0.526123,0.526123,0.526123,0.526123,0.526123,0.526123,0.526123,0.0,0.0,0.0,0.0,0.0,0.0,0.981302,0.990651,1.0,100,0.0,0.0,1
264,0.526123,0.526123,0.526123,0.526123,0.526123,0.526123,0.526123,0.526123,0.526123,0.0,0.0,0.0,0.0,0.0,0.0,0.981302,0.990651,1.0,100,0.0,0.0,1
265,0.526123,0.526123,0.526123,0.526123,0.526123,0.526123,0.526123,0.526123,0.526123,0.0,0.0,0.0,0.0,0.0,0.0,0.981302,0.990651,1.0,100,0.0,0.0,1
266,0.526123,0.526123,0.526123,0.526123,0.526123,0.526123,0.526123,0.526123,0.526123,0.0,0.0,0.0,0.0,0.0,0.0,0.981302,0.990651,1.0,100,0.0,0.0,1
267,0.5963,0.5963,0.5963,0.5963,0.5963,0.5963,0.5963,0.5963,0.5963,0.0,0.0,0.0,0.0,0.0,0.0,0.998781,0.9993905000000001,1.0,100,0.0,0.0,1
268,0.5963,0.5963,0.5963,0.5963,0.5963,0.5963,0.5963,0.5963,0.5963,0.0,0.0,0.0,0.0,0.0,0.0,0.998781,0.9993905000000001,1.0,100,0.0,0.0,1
269,0.5963,0.5963,0.5963,0.5963,0.5963,0.5963,0.5963,0.5963,0.5963,0.0,0.0,0.0,0.0,0.0,0.0,0.998781,0.9993905000000001,1.0,100,0.0,0.0,1
270,0.5963,0.5963,0.5963,0.5963,0.5963,0.5963,0.5963,0.5963,0.5963,0.0,0.0,0.0,0.0,0.0,0.0,0.998781,0.9993905000000001,1.0,100,0.0,0.0,1
