------ Experiment.bell_state_reach ------
%%%%%%%%%%%% bellman %%%%%%%%%%%%
count hardware (bellman):  45
count embeddings (bellman):  136
total diff. algorithms (bellman):  27
accuracy perfect hardware (bellman): 0.6, 0.6, 1.0, 1.0, 1.0, 1.0

num. algorithms per horizon (method=bellman)
1 :  1
2 :  1
3 :  4
4 :  6
5 :  7
6 :  8
--


number of improvements per horizon:
--> horizon 1: 7 
--> horizon 2: 7 
--> horizon 3: 7 
--> horizon 4: 135 
--> horizon 5: 17 
--> horizon 6: 135 


Improvements with respect to perfect algorithms per horizon
Horizon = 4
hardware=geneva-0, diff=0.01764, prob=0.9522, baseline_prob=0.93456, algorithm=10, method=bellman, horizon=6,
hardware=sydney-1, diff=0.01302, prob=0.9642, baseline_prob=0.95118, algorithm=10, method=bellman, horizon=6,
hardware=sydney-3, diff=0.01174, prob=0.86968, baseline_prob=0.85794, algorithm=10, method=bellman, horizon=6,
hardware=quito-0, diff=0.0116, prob=0.96297, baseline_prob=0.95137, algorithm=10, method=bellman, horizon=6,
hardware=quito-1, diff=0.01126, prob=0.935, baseline_prob=0.92374, algorithm=10, method=bellman, horizon=6,
hardware=mumbai-1, diff=0.0099, prob=0.97328, baseline_prob=0.96338, algorithm=10, method=bellman, horizon=6,
hardware=mumbai-3, diff=0.0097, prob=0.95405, baseline_prob=0.94435, algorithm=10, method=bellman, horizon=6,
hardware=montreal-1, diff=0.00912, prob=0.97469, baseline_prob=0.96557, algorithm=10, method=bellman, horizon=6,
hardware=manila-0, diff=0.00907, prob=0.97475, baseline_prob=0.96568, algorithm=10, method=bellman, horizon=6,
hardware=montreal-3, diff=0.00899, prob=0.96016, baseline_prob=0.95117, algorithm=10, method=bellman, horizon=6,
hardware=singapore-0, diff=0.00769, prob=0.97696, baseline_prob=0.96927, algorithm=10, method=bellman, horizon=6,
hardware=singapore-2, diff=0.00759, prob=0.96373, baseline_prob=0.95614, algorithm=10, method=bellman, horizon=6,
hardware=brooklyn-1, diff=0.00751, prob=0.9783, baseline_prob=0.97079, algorithm=10, method=bellman, horizon=6,
hardware=brooklyn-3, diff=0.00728, prob=0.94865, baseline_prob=0.94137, algorithm=10, method=bellman, horizon=6,
hardware=hanoi-1, diff=0.00713, prob=0.98097, baseline_prob=0.97384, algorithm=10, method=bellman, horizon=6,
hardware=vigo-0, diff=0.00577, prob=0.98249, baseline_prob=0.97672, algorithm=10, method=bellman, horizon=6,
hardware=guadalupe-0, diff=0.00386, prob=0.98693, baseline_prob=0.98307, algorithm=10, method=bellman, horizon=6,
hardware=guadalupe-2, diff=0.00382, prob=0.97825, baseline_prob=0.97443, algorithm=10, method=bellman, horizon=6,
hardware=nairobi-0, diff=0.00357, prob=0.9876, baseline_prob=0.98403, algorithm=10, method=bellman, horizon=6,
hardware=nairobi-2, diff=0.00355, prob=0.98377, baseline_prob=0.98022, algorithm=10, method=bellman, horizon=6,
hardware=lima-0, diff=0.00351, prob=0.98828, baseline_prob=0.98477, algorithm=10, method=bellman, horizon=6,
hardware=bogota-0, diff=0.0034, prob=0.98677, baseline_prob=0.98337, algorithm=10, method=bellman, horizon=6,
hardware=essex-0, diff=0.0033, prob=0.98532, baseline_prob=0.98202, algorithm=10, method=bellman, horizon=6,
hardware=algiers-1, diff=0.00327, prob=0.98978, baseline_prob=0.98651, algorithm=10, method=bellman, horizon=6,
hardware=essex-2, diff=0.00327, prob=0.974, baseline_prob=0.97073, algorithm=10, method=bellman, horizon=6,
hardware=ourense-0, diff=0.00318, prob=0.98931, baseline_prob=0.98613, algorithm=10, method=bellman, horizon=6,
hardware=ourense-2, diff=0.00317, prob=0.98677, baseline_prob=0.9836, algorithm=10, method=bellman, horizon=6,
hardware=valencia-0, diff=0.00313, prob=0.98823, baseline_prob=0.9851, algorithm=10, method=bellman, horizon=6,
hardware=kolkata-0, diff=0.00234, prob=0.99162, baseline_prob=0.98928, algorithm=10, method=bellman, horizon=6,
hardware=perth-0, diff=0.00203, prob=0.99241, baseline_prob=0.99038, algorithm=10, method=bellman, horizon=6,
hardware=belem-0, diff=0.00187, prob=0.98884, baseline_prob=0.98697, algorithm=10, method=bellman, horizon=6,
hardware=casablanca-0, diff=0.00119, prob=0.9925, baseline_prob=0.99131, algorithm=10, method=bellman, horizon=6,
hardware=casablanca-1, diff=0.00118, prob=0.98529, baseline_prob=0.98411, algorithm=10, method=bellman, horizon=6,
hardware=essex-1, diff=0.00104, prob=0.97899, baseline_prob=0.97795, algorithm=10, method=bellman, horizon=6,
hardware=rome-1, diff=0.00102, prob=0.98621, baseline_prob=0.98519, algorithm=10, method=bellman, horizon=6,
hardware=oslo-1, diff=0.00098, prob=0.99352, baseline_prob=0.99254, algorithm=10, method=bellman, horizon=6,
hardware=yorktown-0, diff=0.00085, prob=0.97193, baseline_prob=0.97108, algorithm=10, method=bellman, horizon=6,
hardware=bogota-1, diff=0.00079, prob=0.94801, baseline_prob=0.94722, algorithm=10, method=bellman, horizon=6,
hardware=melbourne-0, diff=0.00079, prob=0.98852, baseline_prob=0.98773, algorithm=10, method=bellman, horizon=6,
hardware=melbourne-2, diff=0.00077, prob=0.96132, baseline_prob=0.96055, algorithm=10, method=bellman, horizon=6,
hardware=burlington-0, diff=0.00067, prob=0.98195, baseline_prob=0.98128, algorithm=10, method=bellman, horizon=6,
hardware=valencia-1, diff=0.00062, prob=0.99007, baseline_prob=0.98945, algorithm=10, method=bellman, horizon=6,
hardware=rome-0, diff=0.00053, prob=0.9945, baseline_prob=0.99397, algorithm=10, method=bellman, horizon=6,
hardware=poughkeepsie-1, diff=0.0005, prob=0.99082, baseline_prob=0.99032, algorithm=10, method=bellman, horizon=6,
hardware=belem-1, diff=0.00049, prob=0.99187, baseline_prob=0.99138, algorithm=10, method=bellman, horizon=6,
hardware=belem-2, diff=0.00048, prob=0.98796, baseline_prob=0.98748, algorithm=10, method=bellman, horizon=6,
hardware=poughkeepsie-2, diff=0.00048, prob=0.94674, baseline_prob=0.94626, algorithm=10, method=bellman, horizon=6,
hardware=perth-1, diff=0.00044, prob=0.99589, baseline_prob=0.99545, algorithm=10, method=bellman, horizon=6,
hardware=perth-2, diff=0.00043, prob=0.98779, baseline_prob=0.98736, algorithm=10, method=bellman, horizon=6,
hardware=auckland-1, diff=0.00042, prob=0.99568, baseline_prob=0.99526, algorithm=10, method=bellman, horizon=6,
