------ Experiment.bell_state_reach ------
%%%%%%%%%%%% convex %%%%%%%%%%%%
count hardware (convex):  45
count embeddings (convex):  136
total diff. algorithms (convex):  48
accuracy perfect hardware (convex): -0.0, 0.5, 1.0, 1.0, 1.0, 1.0

num. algorithms per horizon (method=convex)
1 :  1
2 :  1
3 :  1
4 :  15
5 :  15
6 :  15
--


number of improvements per horizon:
--> horizon 1: 0 
--> horizon 2: 0 
--> horizon 3: 0 
--> horizon 4: 135 
--> horizon 5: 13 
--> horizon 6: 135 


Improvements with respect to perfect algorithms per horizon
Horizon = 4
hardware=lagos-0, diff=0.18451, prob=0.55115, baseline_prob=0.36664, algorithm=11, method=convex, horizon=6,
hardware=lagos-2, diff=0.18196, prob=0.5435, baseline_prob=0.36154, algorithm=11, method=convex, horizon=6,
hardware=manhattan-0, diff=0.17298, prob=0.63947, baseline_prob=0.46649, algorithm=11, method=convex, horizon=6,
hardware=rochester-1, diff=0.1713, prob=0.63618, baseline_prob=0.46488, algorithm=11, method=convex, horizon=6,
hardware=cambridge-1, diff=0.16822, prob=0.65619, baseline_prob=0.48797, algorithm=11, method=convex, horizon=6,
hardware=washington-0, diff=0.14286, prob=0.75204, baseline_prob=0.60918, algorithm=11, method=convex, horizon=6,
hardware=toronto-0, diff=0.11853, prob=0.81221, baseline_prob=0.69368, algorithm=11, method=convex, horizon=6,
hardware=toronto-2, diff=0.10883, prob=0.74576, baseline_prob=0.63693, algorithm=11, method=convex, horizon=6,
hardware=manhattan-2, diff=0.10216, prob=0.32094, baseline_prob=0.21878, algorithm=54, method=convex, horizon=6,
hardware=rochester-3, diff=0.10206, prob=0.32181, baseline_prob=0.21975, algorithm=54, method=convex, horizon=6,
hardware=cambridge-3, diff=0.10091, prob=0.33077, baseline_prob=0.22986, algorithm=31, method=convex, horizon=6,
hardware=washington-2, diff=0.09164, prob=0.37692, baseline_prob=0.28528, algorithm=65, method=convex, horizon=6,
hardware=almaden-1, diff=0.0915, prob=0.86275, baseline_prob=0.77125, algorithm=11, method=convex, horizon=6,
hardware=almaden-3, diff=0.08758, prob=0.82581, baseline_prob=0.73823, algorithm=11, method=convex, horizon=6,
hardware=paris-0, diff=0.08278, prob=0.88064, baseline_prob=0.79786, algorithm=11, method=convex, horizon=6,
hardware=paris-2, diff=0.07959, prob=0.84663, baseline_prob=0.76704, algorithm=11, method=convex, horizon=6,
hardware=boeblingen-1, diff=0.07231, prob=0.89924, baseline_prob=0.82693, algorithm=11, method=convex, horizon=6,
hardware=boeblingen-3, diff=0.07126, prob=0.88623, baseline_prob=0.81497, algorithm=11, method=convex, horizon=6,
hardware=melbourne-1, diff=0.06843, prob=0.89961, baseline_prob=0.83118, algorithm=11, method=convex, horizon=6,
hardware=melbourne-3, diff=0.06655, prob=0.87486, baseline_prob=0.80831, algorithm=11, method=convex, horizon=6,
hardware=poughkeepsie-0, diff=0.06091, prob=0.91308, baseline_prob=0.85217, algorithm=11, method=convex, horizon=6,
hardware=johannesburg-1, diff=0.06069, prob=0.91257, baseline_prob=0.85188, algorithm=11, method=convex, horizon=6,
hardware=johannesburg-3, diff=0.05884, prob=0.88471, baseline_prob=0.82587, algorithm=11, method=convex, horizon=6,
hardware=london-1, diff=0.05615, prob=0.91431, baseline_prob=0.85816, algorithm=11, method=convex, horizon=6,
hardware=cairo-1, diff=0.0482, prob=0.93716, baseline_prob=0.88896, algorithm=11, method=convex, horizon=6,
hardware=geneva-0, diff=0.04411, prob=0.94338, baseline_prob=0.89927, algorithm=11, method=convex, horizon=6,
hardware=hanoi-3, diff=0.04072, prob=0.48965, baseline_prob=0.44893, algorithm=40, method=convex, horizon=6,
hardware=algiers-3, diff=0.03663, prob=0.49532, baseline_prob=0.45869, algorithm=20, method=convex, horizon=6,
hardware=cambridge-2, diff=0.03353, prob=0.49941, baseline_prob=0.46588, algorithm=24, method=convex, horizon=6,
hardware=geneva-2, diff=0.03343, prob=0.49957, baseline_prob=0.46614, algorithm=34, method=convex, horizon=6,
hardware=rochester-2, diff=0.03333, prob=0.49972, baseline_prob=0.46639, algorithm=60, method=convex, horizon=6,
