------ Experiment.basic_zero_plus_discr ------
%%%%%%%%%%%% convex %%%%%%%%%%%%
count hardware (convex):  55
count embeddings (convex):  109
total diff. algorithms (convex):  483
accuracy perfect hardware (convex): 0.66667, 0.66667, 0.75, 0.75, 0.75, 0.75

num. algorithms per horizon (method=convex)
1 :  89
2 :  102
3 :  88
4 :  89
5 :  55
6 :  60
--


number of improvements per horizon:
--> horizon 1: 108 
--> horizon 2: 108 
--> horizon 3: 108 
--> horizon 4: 108 
--> horizon 5: 108 
--> horizon 6: 108 


Improvements with respect to perfect algorithms per horizon
Horizon = 1
hardware=washington-0, diff=0.13713, prob=0.5886, baseline_prob=0.45147, algorithm=45, method=convex, horizon=2,
hardware=yorktown-1, diff=0.13205, prob=0.60385, baseline_prob=0.4718, algorithm=61, method=convex, horizon=2,
hardware=toronto-0, diff=0.12908, prob=0.61275, baseline_prob=0.48367, algorithm=316, method=convex, horizon=2,
hardware=brisbane-0, diff=0.12325, prob=0.63025, baseline_prob=0.507, algorithm=326, method=convex, horizon=2,
hardware=almaden-1, diff=0.12111, prob=0.63667, baseline_prob=0.51556, algorithm=240, method=convex, horizon=2,
hardware=paris-0, diff=0.11852, prob=0.64445, baseline_prob=0.52593, algorithm=427, method=convex, horizon=2,
hardware=boeblingen-1, diff=0.11545, prob=0.65365, baseline_prob=0.5382, algorithm=289, method=convex, horizon=2,
hardware=melbourne-1, diff=0.1129, prob=0.65517, baseline_prob=0.54227, algorithm=125, method=convex, horizon=2,
hardware=poughkeepsie-0, diff=0.10575, prob=0.65708, baseline_prob=0.55133, algorithm=436, method=convex, horizon=2,
hardware=johannesburg-1, diff=0.10559, prob=0.65712, baseline_prob=0.55153, algorithm=381, method=convex, horizon=2,
hardware=london-0, diff=0.10143, prob=0.6581, baseline_prob=0.55667, algorithm=218, method=convex, horizon=2,
hardware=cairo-1, diff=0.0927, prob=0.6599, baseline_prob=0.5672, algorithm=366, method=convex, horizon=2,
hardware=geneva-0, diff=0.08829, prob=0.66069, baseline_prob=0.5724, algorithm=246, method=convex, horizon=2,
hardware=sydney-1, diff=0.07495, prob=0.66268, baseline_prob=0.58773, algorithm=359, method=convex, horizon=2,
hardware=quito-1, diff=0.07061, prob=0.66321, baseline_prob=0.5926, algorithm=478, method=convex, horizon=2,
hardware=fez-1, diff=0.06753, prob=0.66356, baseline_prob=0.59603, algorithm=203, method=convex, horizon=2,
hardware=prague-0, diff=0.06569, prob=0.66376, baseline_prob=0.59807, algorithm=104, method=convex, horizon=2,
hardware=mumbai-1, diff=0.06466, prob=0.66386, baseline_prob=0.5992, algorithm=232, method=convex, horizon=2,
