hardware,embedding_index,horizon,method,time,result,threshold
cairo,2,5,convex,0.083160,1,0.978050
cairo,2,6,bellman,0.102680,1,0.978060
cairo,2,6,convex,0.334110,1,0.978050
cambridge,0,1,bellman,0.009120,1,0.593430
cambridge,0,1,convex,0.009320,1,0.000000
cambridge,0,2,bellman,0.010710,1,0.593430
cambridge,0,2,convex,0.029800,1,0.494360
cambridge,0,3,bellman,0.020320,1,0.972870
cambridge,0,3,convex,0.026080,1,0.972870
cambridge,0,4,bellman,0.032460,1,0.976180
cambridge,0,4,convex,0.098460,1,0.972870
cambridge,0,5,bellman,0.060230,1,0.988860
cambridge,0,5,convex,0.083250,1,0.988860
cambridge,0,6,bellman,0.101790,1,0.989030
cambridge,0,6,convex,0.312240,1,0.988860
cambridge,1,1,bellman,0.008680,1,0.593430
cambridge,1,1,convex,0.008940,1,0.000000
cambridge,1,2,bellman,0.010270,1,0.593430
cambridge,1,2,convex,0.028780,1,0.494360
cambridge,1,3,bellman,0.019920,1,0.603330
cambridge,1,3,convex,0.025160,1,0.603330
cambridge,1,4,bellman,0.031020,1,0.650470
cambridge,1,4,convex,0.099260,1,0.603330
cambridge,1,5,bellman,0.061430,1,0.655190
cambridge,1,5,convex,0.084940,1,0.655190
cambridge,1,6,bellman,0.104580,1,0.688830
cambridge,1,6,convex,0.317700,1,0.655190
cambridge,2,1,bellman,0.007090,1,0.279000
cambridge,2,1,convex,0.007450,1,0.000000
cambridge,2,2,bellman,0.008600,1,0.279000
cambridge,2,2,convex,0.022850,1,0.232330
cambridge,2,3,bellman,0.016100,1,0.457730
cambridge,2,3,convex,0.019530,1,0.457730
cambridge,2,4,bellman,0.057590,1,0.490410
cambridge,2,4,convex,0.198990,1,0.488650
cambridge,2,5,bellman,0.093470,1,0.497390
cambridge,2,5,convex,0.290070,1,0.495850
cambridge,2,6,bellman,0.172270,1,0.498570
cambridge,2,6,convex,0.931920,0,0.498410
cambridge,3,1,bellman,0.007520,1,0.279000
cambridge,3,1,convex,0.007790,1,0.000000
cambridge,3,2,bellman,0.009090,1,0.279000
cambridge,3,2,convex,0.023730,1,0.232330
cambridge,3,3,bellman,0.031410,1,0.298910
cambridge,3,3,convex,0.020210,1,0.283670
cambridge,3,4,bellman,0.047880,1,0.318020
cambridge,3,4,convex,0.210810,1,0.303220
cambridge,3,5,bellman,0.091270,1,0.327770
cambridge,3,5,convex,0.305250,1,0.320000
cambridge,3,6,bellman,0.176390,1,0.340190
cambridge,3,6,convex,1.013570,1,0.329770
casablanca,0,1,bellman,0.004600,1,0.596010
casablanca,0,1,convex,0.004840,1,0.000000
casablanca,0,2,bellman,0.005730,1,0.596010
casablanca,0,2,convex,0.017090,1,0.496500
casablanca,0,3,bellman,0.011370,1,0.961570
casablanca,0,3,convex,0.013660,1,0.961570
casablanca,0,4,bellman,0.018770,1,0.967850
casablanca,0,4,convex,0.061760,1,0.961570
casablanca,0,5,bellman,0.037200,1,0.990910
casablanca,0,5,convex,0.047280,1,0.990910
casablanca,0,6,bellman,0.064620,1,0.991500
casablanca,0,6,convex,0.190970,1,0.990910
casablanca,1,1,bellman,0.004410,1,0.591670
casablanca,1,1,convex,0.004680,1,0.000000
casablanca,1,2,bellman,0.005550,1,0.591670
casablanca,1,2,convex,0.016310,1,0.492890
casablanca,1,3,bellman,0.010900,1,0.954580
casablanca,1,3,convex,0.012770,1,0.954580
casablanca,1,4,bellman,0.017910,1,0.960810
casablanca,1,4,convex,0.059010,1,0.954580
casablanca,1,5,bellman,0.035290,1,0.983700
casablanca,1,5,convex,0.044700,1,0.983700
casablanca,1,6,bellman,0.061270,1,0.984290
casablanca,1,6,convex,0.181550,1,0.983700
essex,0,1,bellman,0.003810,1,0.594560
essex,0,1,convex,0.004100,1,0.000000
essex,0,2,bellman,0.004870,1,0.594560
essex,0,2,convex,0.014490,1,0.495300
essex,0,3,bellman,0.009020,1,0.936210
essex,0,3,convex,0.010750,1,0.936210
essex,0,4,bellman,0.013950,1,0.946670
essex,0,4,convex,0.050240,1,0.936210
essex,0,5,bellman,0.028670,1,0.982670
essex,0,5,convex,0.035850,1,0.982670
essex,0,6,bellman,0.048690,1,0.984320
essex,0,6,convex,0.147150,1,0.982670
essex,1,1,bellman,0.004160,1,0.587710
essex,1,1,convex,0.004410,1,0.000000
essex,1,2,bellman,0.005300,1,0.587710
essex,1,2,convex,0.015590,1,0.489590
essex,1,3,bellman,0.010030,1,0.950070
essex,1,3,convex,0.012090,1,0.950070
essex,1,4,bellman,0.015340,1,0.955910
essex,1,4,convex,0.054240,1,0.950070
essex,1,5,bellman,0.031250,1,0.977470
essex,1,5,convex,0.039880,1,0.977470
essex,1,6,bellman,0.052820,1,0.977990
essex,1,6,convex,0.161410,1,0.977470
essex,2,1,bellman,0.004240,1,0.587710
essex,2,1,convex,0.004530,1,0.000000
essex,2,2,bellman,0.005270,1,0.587710
essex,2,2,convex,0.015810,1,0.489590
essex,2,3,bellman,0.010070,1,0.925440
essex,2,3,convex,0.012530,1,0.925440
essex,2,4,bellman,0.015530,1,0.935780
essex,2,4,convex,0.054660,1,0.925440
essex,2,5,bellman,0.031310,1,0.971360
essex,2,5,convex,0.040230,1,0.971360
essex,2,6,bellman,0.053150,1,0.973000
essex,2,6,convex,0.161840,1,0.971360
geneva,0,1,bellman,0.006500,1,0.597550
geneva,0,1,convex,0.006630,1,0.000000
geneva,0,2,bellman,0.007770,1,0.597550
geneva,0,2,convex,0.022670,1,0.497790
geneva,0,3,bellman,0.015890,1,0.855520
geneva,0,3,convex,0.019280,1,0.855520
geneva,0,4,bellman,0.026530,1,0.879740
geneva,0,4,convex,0.082430,1,0.855520
geneva,0,5,bellman,0.051200,1,0.942380
geneva,0,5,convex,0.068120,1,0.942380
geneva,0,6,bellman,0.089100,1,0.951200
geneva,0,6,convex,0.264660,1,0.942380
geneva,1,1,bellman,0.006790,1,0.597550
geneva,1,1,convex,0.007080,1,0.000000
geneva,1,2,bellman,0.008170,1,0.597550
geneva,1,2,convex,0.023400,1,0.497790
geneva,1,3,bellman,0.016380,1,0.982810
geneva,1,3,convex,0.019980,1,0.982810
geneva,1,4,bellman,0.027330,1,0.985520
geneva,1,4,convex,0.084520,1,0.982810
geneva,1,5,bellman,0.053220,1,0.996010
geneva,1,5,convex,0.070260,1,0.996010
geneva,1,6,bellman,0.092480,1,0.996120
geneva,1,6,convex,0.273610,1,0.996010
geneva,2,1,bellman,0.006740,1,0.279000
geneva,2,1,convex,0.006890,1,0.000000
geneva,2,2,bellman,0.008120,1,0.279000
geneva,2,2,convex,0.024130,1,0.232330
geneva,2,3,bellman,0.016770,1,0.459230
geneva,2,3,convex,0.020710,1,0.459230
geneva,2,4,bellman,0.058810,1,0.492010
geneva,2,4,convex,0.209610,1,0.490200
geneva,2,5,bellman,0.096220,1,0.497740
geneva,2,5,convex,0.296310,1,0.496250
geneva,2,6,bellman,0.184950,1,0.498720
geneva,2,6,convex,1.045720,1,0.498570
guadalupe,0,1,bellman,0.005530,1,0.596300
guadalupe,0,1,convex,0.005760,1,0.000000
guadalupe,0,2,bellman,0.006680,1,0.596300
guadalupe,0,2,convex,0.020350,1,0.496750
guadalupe,0,3,bellman,0.013830,1,0.934260
guadalupe,0,3,convex,0.016880,1,0.934260
guadalupe,0,4,bellman,0.022770,1,0.945580
guadalupe,0,4,convex,0.072850,1,0.934260
guadalupe,0,5,bellman,0.044590,1,0.984000
guadalupe,0,5,convex,0.058620,1,0.984000
guadalupe,0,6,bellman,0.077930,1,0.985930
guadalupe,0,6,convex,0.233210,1,0.984000
guadalupe,1,1,bellman,0.006280,1,0.596300
guadalupe,1,1,convex,0.006500,1,0.000000
guadalupe,1,2,bellman,0.007530,1,0.596300
guadalupe,1,2,convex,0.022030,1,0.496750
guadalupe,1,3,bellman,0.015390,1,0.983940
guadalupe,1,3,convex,0.018560,1,0.983940
guadalupe,1,4,bellman,0.025670,1,0.986030
guadalupe,1,4,convex,0.079770,1,0.983940
guadalupe,1,5,bellman,0.049660,1,0.994160
guadalupe,1,5,convex,0.065890,1,0.994160
guadalupe,1,6,bellman,0.086460,1,0.994220
guadalupe,1,6,convex,0.256490,1,0.994160
guadalupe,2,1,bellman,0.005860,1,0.591040
guadalupe,2,1,convex,0.006020,1,0.000000
guadalupe,2,2,bellman,0.007090,1,0.591040
guadalupe,2,2,convex,0.021120,1,0.492370
guadalupe,2,3,bellman,0.014400,1,0.926040
guadalupe,2,3,convex,0.017640,1,0.926040
guadalupe,2,4,bellman,0.023730,1,0.937260
guadalupe,2,4,convex,0.076290,1,0.926040
guadalupe,2,5,bellman,0.046580,1,0.975340
guadalupe,2,5,convex,0.061750,1,0.975340
guadalupe,2,6,bellman,0.080530,1,0.977250
guadalupe,2,6,convex,0.241900,1,0.975340
guadalupe,3,1,bellman,0.006480,1,0.591040
guadalupe,3,1,convex,0.006390,1,0.000000
guadalupe,3,2,bellman,0.007800,1,0.591040
guadalupe,3,2,convex,0.022720,1,0.492370
guadalupe,3,3,bellman,0.015670,1,0.975280
guadalupe,3,3,convex,0.019150,1,0.975280
guadalupe,3,4,bellman,0.025850,1,0.977350
guadalupe,3,4,convex,0.081620,1,0.975280
guadalupe,3,5,bellman,0.050580,1,0.985410
guadalupe,3,5,convex,0.067210,1,0.985410
guadalupe,3,6,bellman,0.087670,1,0.985470
guadalupe,3,6,convex,0.262220,1,0.985410
hanoi,0,1,bellman,0.007130,1,0.597490
hanoi,0,1,convex,0.007340,1,0.000000
hanoi,0,2,bellman,0.008500,1,0.597490
hanoi,0,2,convex,0.024500,1,0.497740
hanoi,0,3,bellman,0.017140,1,0.990990
hanoi,0,3,convex,0.021030,1,0.990990
hanoi,0,4,bellman,0.028650,1,0.992080
hanoi,0,4,convex,0.087960,1,0.990990
hanoi,0,5,bellman,0.055660,1,0.996390
hanoi,0,5,convex,0.076650,1,0.996390
hanoi,0,6,bellman,0.098340,1,0.996400
hanoi,0,6,convex,0.285900,1,0.996390
hanoi,1,1,bellman,0.007290,1,0.597490
hanoi,1,1,convex,0.007530,1,0.000000
