hardware,embedding_index,method,horizon,algorithm_index,baseline_index,algorithm_prob,baseline_prob,diff
guadalupe,0,bellman,8,8,501,0.999450,0.999390,0.000060
guadalupe,1,bellman,2,0,490,0.989280,0.989280,0.000000
guadalupe,1,bellman,3,1,492,0.989280,0.989280,0.000000
guadalupe,1,bellman,4,2,494,0.999540,0.999540,-0.000000
guadalupe,1,bellman,5,3,496,0.999660,0.999540,0.000120
guadalupe,1,bellman,6,4,498,0.999930,0.999860,0.000070
guadalupe,1,bellman,7,5,500,0.999990,0.999860,0.000130
guadalupe,1,bellman,8,6,501,1.000000,0.999870,0.000130
hanoi,0,bellman,2,0,490,0.994410,0.994410,0.000000
hanoi,0,bellman,3,1,492,0.994410,0.994410,0.000000
hanoi,0,bellman,4,2,494,0.999820,0.999820,0.000000
hanoi,0,bellman,5,3,496,0.999910,0.999820,0.000090
hanoi,0,bellman,6,4,498,0.999980,0.999910,0.000070
hanoi,0,bellman,7,5,500,1.000000,0.999910,0.000090
hanoi,0,bellman,8,6,501,1.000000,0.999910,0.000090
hanoi,1,bellman,2,0,490,0.915620,0.915620,0.000000
hanoi,1,bellman,3,1,492,0.915620,0.915620,0.000000
hanoi,1,bellman,4,2,494,0.979790,0.979790,0.000000
hanoi,1,bellman,5,3,496,0.979850,0.979790,0.000060
hanoi,1,bellman,6,7,498,0.994650,0.994650,0.000000
hanoi,1,bellman,7,5,500,0.994730,0.994650,0.000080
hanoi,1,bellman,8,9,501,0.998470,0.998470,0.000000
jakarta,0,bellman,2,0,490,0.983860,0.983860,-0.000000
jakarta,0,bellman,3,1,492,0.983860,0.983860,-0.000000
jakarta,0,bellman,4,2,494,0.999100,0.999100,0.000000
jakarta,0,bellman,5,3,496,0.999230,0.999100,0.000130
jakarta,0,bellman,6,4,498,0.999830,0.999820,0.000010
jakarta,0,bellman,7,5,500,0.999960,0.999820,0.000140
jakarta,0,bellman,8,6,501,0.999990,0.999850,0.000140
jakarta,1,bellman,2,0,490,0.944380,0.944380,0.000000
jakarta,1,bellman,3,1,492,0.944380,0.944380,0.000000
jakarta,1,bellman,4,2,494,0.990970,0.990970,0.000000
jakarta,1,bellman,5,3,496,0.991080,0.990970,0.000110
jakarta,1,bellman,6,7,498,0.998290,0.998290,-0.000000
jakarta,1,bellman,7,5,500,0.998420,0.998290,0.000130
jakarta,1,bellman,8,8,501,0.999610,0.999570,0.000040
johannesburg,0,bellman,2,0,490,0.981570,0.981570,0.000000
