hardware,embedding_index,horizon,method,time,result,threshold
santiago,1,4,bellman,0.015990,1,0.972840
santiago,1,5,bellman,0.016800,1,0.972840
santiago,1,6,bellman,0.030540,1,0.989600
santiago,1,7,bellman,0.031680,1,0.989600
santiago,2,3,bellman,0.013580,1,0.499000
santiago,2,4,bellman,0.016980,1,0.976290
santiago,2,5,bellman,0.017770,1,0.976290
santiago,2,6,bellman,0.031840,1,0.990950
santiago,2,7,bellman,0.032770,1,0.990950
singapore,0,3,bellman,0.022080,1,0.499000
singapore,0,4,bellman,0.027020,1,0.897600
singapore,0,5,bellman,0.028520,1,0.897600
singapore,0,6,bellman,0.045040,1,0.961580
singapore,0,7,bellman,0.047060,1,0.961580
singapore,1,3,bellman,0.037720,1,0.499000
singapore,1,4,bellman,0.024460,1,0.895740
singapore,1,5,bellman,0.029980,1,0.895740
singapore,1,6,bellman,0.041880,1,0.959420
singapore,1,7,bellman,0.065860,1,0.959420
singapore,2,3,bellman,0.005270,1,0.499000
singapore,2,4,bellman,0.029640,1,0.960080
singapore,2,5,bellman,0.031430,1,0.960080
singapore,2,6,bellman,0.049320,1,0.975490
singapore,2,7,bellman,0.054700,1,0.975490
johannesburg,0,3,bellman,0.019430,1,0.499000
johannesburg,0,4,bellman,0.023390,1,0.951230
johannesburg,0,5,bellman,0.024750,1,0.951230
johannesburg,0,6,bellman,0.040730,1,0.966780
johannesburg,0,7,bellman,0.041900,1,0.966780
johannesburg,1,3,bellman,0.036500,1,0.499000
johannesburg,1,4,bellman,0.023150,1,0.937510
johannesburg,1,5,bellman,0.028570,1,0.937510
johannesburg,1,6,bellman,0.039870,1,0.952590
johannesburg,1,7,bellman,0.063440,1,0.952590
johannesburg,2,3,bellman,0.023700,1,0.499000
johannesburg,2,4,bellman,0.028800,1,0.806380
johannesburg,2,5,bellman,0.030420,1,0.806380
johannesburg,2,6,bellman,0.047750,1,0.894210
johannesburg,2,7,bellman,0.049870,1,0.894210
rome,0,3,bellman,0.011750,1,0.499000
rome,0,4,bellman,0.015030,1,0.953800
rome,0,5,bellman,0.015660,1,0.953800
rome,0,6,bellman,0.029850,1,0.980350
rome,0,7,bellman,0.030160,1,0.980350
rome,1,3,bellman,0.003100,1,0.499000
rome,1,4,bellman,0.016030,1,0.961220
rome,1,5,bellman,0.016940,1,0.961220
rome,1,6,bellman,0.030510,1,0.980580
rome,1,7,bellman,0.031610,1,0.980580
rome,2,3,bellman,0.003120,1,0.499000
rome,2,4,bellman,0.016990,1,0.964680
rome,2,5,bellman,0.017660,1,0.964680
