,benchmark,horizon,total_time,0.0,6.666667,9.999977,10.0,14.0,15.0,16.666667,16.666637,18.333333,19.375,20.0,30.0
79,RockSample_POMDP_N3_G3_K5_R8_,3,289.884478,289.884478,289.884478,289.884478,289.884478,289.884478,289.884478,289.884478,289.884478,289.884478,289.884478,289.884478,289.884478
80,RockSample_POMDP_N3_G3_K5_R8_,4,timeout,timeout,timeout,timeout,128.275553,128.275553,128.275553,128.275553,128.275553,128.275553,128.275553,128.275553,128.275553
81,RockSample_POMDP_N3_G3_K5_R8_,5,timeout,timeout,timeout,timeout,160.568603,160.568603,160.568603,160.568603,160.568603,160.568603,160.568603,160.568603,160.568603
82,RockSample_POMDP_N3_G3_K5_R8_,6,timeout,timeout,timeout,timeout,timeout,timeout,2107.587908,2107.587908,2107.587908,2107.587908,2107.587908,191.376059,191.376059
83,RockSample_POMDP_N3_G3_K5_R8_,7,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,224.905813,224.905813
84,RockSample_POMDP_N3_G4_K5_R9_,1,91.331113,91.331113,91.331113,91.331113,91.331113,91.331113,91.331113,91.331113,91.331113,91.331113,91.331113,91.331113,91.331113
85,RockSample_POMDP_N3_G4_K5_R9_,2,481.34283,481.34283,481.34283,481.34283,90.832923,90.832923,90.832923,90.832923,90.832923,90.832923,90.832923,90.832923,90.832923
86,RockSample_POMDP_N3_G4_K5_R9_,3,412.947302,412.947302,412.947302,412.947302,412.947302,412.947302,412.947302,412.947302,412.947302,412.947302,412.947302,412.947302,412.947302
87,RockSample_POMDP_N3_G4_K5_R9_,4,timeout,timeout,timeout,timeout,183.9901,183.9901,183.9901,183.9901,183.9901,183.9901,183.9901,183.9901,183.9901
88,RockSample_POMDP_N3_G4_K5_R9_,5,timeout,timeout,2932.449867,2932.449867,227.942917,227.942917,227.942917,227.942917,227.942917,227.942917,227.942917,227.942917,227.942917
89,RockSample_POMDP_N3_G4_K5_R9_,6,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,3286.66369,3286.66369,274.382688,274.382688
90,RockSample_POMDP_N3_G4_K5_R9_,7,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,320.907567,320.907567
91,RockSample_POMDP_N3_G2_K7_R9_,1,95.326129,95.326129,95.326129,95.326129,95.326129,95.326129,95.326129,95.326129,95.326129,95.326129,95.326129,95.326129,95.326129
92,RockSample_POMDP_N3_G2_K7_R9_,2,239.390318,239.390318,239.390318,239.390318,239.390318,239.390318,239.390318,239.390318,239.390318,239.390318,239.390318,239.390318,239.390318
93,RockSample_POMDP_N3_G2_K7_R9_,3,430.201197,430.201197,430.201197,430.201197,430.201197,430.201197,430.201197,430.201197,430.201197,430.201197,430.201197,430.201197,430.201197
